# h w p block par seq
2319 2995 5 299 0.084879 0.035063
2319 2995 6 249 0.092794 0.035014
2319 2995 7 213 0.086614 0.035046
2319 2995 8 187 0.069954 0.035079
2319 2995 1 1497 0.175189 0.034143
2319 2995 2 748 0.094309 0.034061
2319 2995 3 499 0.066495 0.035050
2319 2995 4 374 0.057270 0.034874
2319 2995 5 299 0.092164 0.035081
2319 2995 6 249 0.071228 0.035031
2319 2995 7 213 0.089118 0.035058
2319 2995 8 187 0.186893 0.035044
2319 2995 1 1497 0.176401 0.034173
2319 2995 2 748 0.094512 0.034365
2319 2995 3 499 0.065852 0.035142
2319 2995 4 374 0.054856 0.035051
2319 2995 5 299 0.083109 0.035051
2319 2995 6 249 0.075879 0.035046
2319 2995 7 213 0.080770 0.035045
2319 2995 8 187 0.076583 0.035049
2319 2995 1 1497 0.177419 0.033919
2319 2995 2 748 0.094787 0.034193
2319 2995 3 499 0.066444 0.034309
2319 2995 4 374 0.053618 0.035069
2319 2995 5 299 0.084015 0.035104
2319 2995 6 249 0.075064 0.035047
2319 2995 7 213 0.075535 0.035047
2319 2995 8 187 0.089813 0.035047
2319 2995 1 1497 0.174948 0.033719
2319 2995 2 748 0.094418 0.034471
2319 2995 3 499 0.065976 0.034454
2319 2995 4 374 0.053551 0.035212
2319 2995 5 299 0.084486 0.035053
2319 2995 6 249 0.107038 0.035046
2319 2995 7 213 0.080869 0.035043
2319 2995 8 187 0.090863 0.035018
2319 2995 1 1497 0.175389 0.033976
2319 2995 2 748 0.094348 0.034886
2319 2995 3 499 0.066437 0.033796
2319 2995 4 374 0.053654 0.035047
2319 2995 5 299 0.083021 0.035047
2319 2995 6 249 0.071232 0.035059
2319 2995 7 213 0.080290 0.035044
2319 2995 8 187 0.074689 0.035014
2319 2995 1 1497 0.177346 0.033180
2319 2995 2 748 0.096134 0.033463
2319 2995 3 499 0.066529 0.034363
2319 2995 4 374 0.054321 0.035034
2319 2995 5 299 0.083244 0.035015
2319 2995 6 249 0.088148 0.035049
2319 2995 7 213 0.083493 0.035044
2319 2995 8 187 0.068142 0.035031
2319 2995 1 1497 0.175972 0.033306
2319 2995 2 748 0.093868 0.034138
2319 2995 3 499 0.065961 0.034517
2319 2995 4 374 0.053083 0.035091
2319 2995 5 299 0.083572 0.035094
2319 2995 6 249 0.097013 0.035079
2319 2995 7 213 0.078800 0.035046
2319 2995 8 187 0.082755 0.035046
2319 2995 1 1497 0.175068 0.034181
2319 2995 2 748 0.094478 0.034207
2319 2995 3 499 0.066448 0.034378
2319 2995 4 374 0.053024 0.034427
2319 2995 5 299 0.088534 0.035046
2319 2995 6 249 0.091305 0.035052
2319 2995 7 213 0.097989 0.035011
2319 2995 8 187 0.097099 0.035017
2319 2995 1 1497 0.175811 0.034332
2319 2995 2 748 0.094750 0.034199
2319 2995 3 499 0.066877 0.034275
2319 2995 4 374 0.053857 0.035070
2319 2995 5 299 0.087999 0.035089
2319 2995 6 249 0.082519 0.035015
2319 2995 7 213 0.092726 0.035067
2319 2995 8 187 0.089554 0.035008
2319 2995 1 1497 0.175437 0.033208
2319 2995 2 748 0.094693 0.034663
2319 2995 3 499 0.065967 0.034107
2319 2995 4 374 0.053577 0.035074
2319 2995 5 299 0.083585 0.035048
2319 2995 6 249 0.087483 0.035046
2319 2995 7 213 0.078267 0.035068
2319 2995 8 187 0.076707 0.035018
2319 2995 1 1497 0.176249 0.033324
2319 2995 2 748 0.094153 0.034371
2319 2995 3 499 0.066476 0.034358
2319 2995 4 374 0.052747 0.035056
2319 2995 5 299 0.083203 0.035050
2319 2995 6 249 0.084880 0.035045
2319 2995 7 213 0.087861 0.035061
2319 2995 8 187 0.077542 0.035010
2319 2995 1 1497 0.174790 0.033430
2319 2995 2 748 0.094924 0.033844
2319 2995 3 499 0.065967 0.034793
2319 2995 4 374 0.053044 0.035054
2319 2995 5 299 0.086680 0.035044
2319 2995 6 249 0.071003 0.035087
2319 2995 7 213 0.081621 0.035015
2319 2995 8 187 0.121785 0.035047
2319 2995 1 1497 0.176166 0.034300
2319 2995 2 748 0.094283 0.034522
2319 2995 3 499 0.066936 0.035069
2319 2995 4 374 0.052844 0.034614
2319 2995 5 299 0.083737 0.035059
2319 2995 6 249 0.070761 0.035047
2319 2995 7 213 0.068023 0.035029
2319 2995 8 187 0.102706 0.035047
2319 2995 1 1497 0.176035 0.034113
2319 2995 2 748 0.094072 0.035581
2319 2995 3 499 0.066282 0.034345
2319 2995 4 374 0.052947 0.034525
2319 2995 5 299 0.084788 0.035017
2319 2995 6 249 0.076287 0.035012
2319 2995 7 213 0.083393 0.035042
2319 2995 8 187 0.067793 0.035043
2319 2995 1 1497 0.175638 0.034306
2319 2995 2 748 0.094033 0.034218
2319 2995 3 499 0.066563 0.034840
2319 2995 4 374 0.053436 0.035017
2319 2995 5 299 0.082955 0.035113
2319 2995 6 249 0.097219 0.035077
2319 2995 7 213 0.076860 0.035047
2319 2995 8 187 0.077836 0.035047
2319 2995 1 1497 0.175557 0.034186
2319 2995 2 748 0.094442 0.034521
2319 2995 3 499 0.066357 0.034749
2319 2995 4 374 0.054655 0.035051
2319 2995 5 299 0.082612 0.035042
2319 2995 6 249 0.076337 0.035047
2319 2995 7 213 0.080695 0.035136
2319 2995 8 187 0.085608 0.035045
2319 2995 1 1497 0.179059 0.033963
2319 2995 2 748 0.096932 0.033998
2319 2995 3 499 0.067312 0.034408
2319 2995 4 374 0.053859 0.035047
2319 2995 5 299 0.086608 0.035044
2319 2995 6 249 0.156244 0.035016
2319 2995 7 213 0.077514 0.035043
2319 2995 8 187 0.080928 0.035048
2319 2995 1 1497 0.176556 0.033970
2319 2995 2 748 0.096414 0.034632
2319 2995 3 499 0.067712 0.035307
2319 2995 4 374 0.056713 0.035173
2319 2995 5 299 0.086124 0.035075
2319 2995 6 249 0.092938 0.035089
2319 2995 7 213 0.083764 0.035015
2319 2995 8 187 0.104127 0.035062
2319 2995 1 1497 0.176945 0.034234
2319 2995 2 748 0.094363 0.034193
2319 2995 3 499 0.066054 0.034159
2319 2995 4 374 0.052900 0.035051
2319 2995 5 299 0.087287 0.035077
2319 2995 6 249 0.083393 0.035052
2319 2995 7 213 0.085490 0.035044
2319 2995 8 187 0.071717 0.035015
2319 2995 1 1497 0.176124 0.034232
2319 2995 2 748 0.094631 0.034095
2319 2995 3 499 0.065873 0.034505
2319 2995 4 374 0.053553 0.035048
2319 2995 5 299 0.082753 0.035058
2319 2995 6 249 0.092023 0.035067
2319 2995 7 213 0.096160 0.035047
2319 2995 8 187 0.075079 0.035047
2319 2995 1 1497 0.175544 0.033975
2319 2995 2 748 0.094351 0.034248
2319 2995 3 499 0.066533 0.034489
2319 2995 4 374 0.052987 0.035049
2319 2995 5 299 0.083074 0.035044
2319 2995 6 249 0.088142 0.035049
2319 2995 7 213 0.083181 0.035278
2319 2995 8 187 0.072753 0.035049
2319 2995 1 1497 0.176378 0.033285
2319 2995 2 748 0.094430 0.034086
2319 2995 3 499 0.066055 0.034329
2319 2995 4 374 0.058733 0.035085
2319 2995 5 299 0.082113 0.035016
2319 2995 6 249 0.092311 0.035041
2319 2995 7 213 0.082493 0.035047
2319 2995 8 187 0.089473 0.035050
2319 2995 1 1497 0.175324 0.033420
2319 2995 2 748 0.093419 0.034090
2319 2995 3 499 0.065853 0.034527
2319 2995 4 374 0.053528 0.034159
2319 2995 5 299 0.083232 0.035062
2319 2995 6 249 0.071263 0.035095
2319 2995 7 213 0.095345 0.035053
2319 2995 8 187 0.078306 0.035044
2319 2995 1 1497 0.175132 0.033609
2319 2995 2 748 0.094493 0.033687
2319 2995 3 499 0.066542 0.034409
2319 2995 4 374 0.052881 0.034902
2319 2995 5 299 0.083294 0.035048
2319 2995 6 249 0.076527 0.035043
2319 2995 7 213 0.064095 0.035010
2319 2995 8 187 0.089625 0.035047
2319 2995 1 1497 0.176453 0.034210
2319 2995 2 748 0.093449 0.034000
2319 2995 3 499 0.067098 0.035059
2319 2995 4 374 0.053126 0.034561
2319 2995 5 299 0.084315 0.035063
2319 2995 6 249 0.100880 0.035114
2319 2995 7 213 0.080205 0.035050
2319 2995 8 187 0.090228 0.035066
2319 2995 1 1497 0.176105 0.033172
2319 2995 2 748 0.094338 0.033666
2319 2995 3 499 0.065737 0.034364
2319 2995 4 374 0.053573 0.035103
2319 2995 5 299 0.083140 0.035062
2319 2995 6 249 0.082311 0.035049
2319 2995 7 213 0.085974 0.035052
2319 2995 8 187 0.078694 0.035045
2319 2995 1 1497 0.178152 0.034152
2319 2995 2 748 0.094450 0.034175
2319 2995 3 499 0.066570 0.034136
2319 2995 4 374 0.053738 0.035049
2319 2995 5 299 0.087094 0.035047
2319 2995 6 249 0.077401 0.035016
2319 2995 7 213 0.086051 0.035052
2319 2995 8 187 0.089868 0.035045
2319 2995 1 1497 0.175173 0.033363
2319 2995 2 748 0.094386 0.033988
