h w p k r par_time seq_time
8192 8192 16 4 128 0.134416 0.429198
8192 8192 16 2 256 0.138182 0.416444
8192 8192 16 1 512 0.143518 0.428394
8192 8192 16 4 128 0.132341 0.428527
8192 8192 16 128 2 0.193564 0.418435
8192 8192 16 128 4 0.177581 0.428909
8192 8192 16 64 8 0.156411 0.419308
8192 8192 16 32 16 0.142901 0.417420
8192 8192 16 16 32 0.138980 0.415812
8192 8192 16 8 64 0.131424 0.415543
8192 8192 16 4 128 0.133972 0.417087
8192 8192 16 2 256 0.139276 0.416025
8192 8192 16 1 512 0.135586 0.417619
8192 8192 16 4 128 0.136552 0.428959
8192 8192 16 128 2 0.199488 0.428710
8192 8192 16 128 4 0.173113 0.415990
8192 8192 16 64 8 0.156142 0.416193
8192 8192 16 32 16 0.147432 0.429049
8192 8192 16 16 32 0.139155 0.415594
8192 8192 16 8 64 0.132581 0.415699
8192 8192 16 4 128 0.133153 0.415656
8192 8192 16 2 256 0.136980 0.415789
8192 8192 16 1 512 0.134585 0.418349
8192 8192 16 4 128 0.132855 0.414884
8192 8192 16 128 2 0.194647 0.416543
8192 8192 16 128 4 0.174109 0.408669
8192 8192 16 64 8 0.155184 0.416730
8192 8192 16 32 16 0.145747 0.417526
8192 8192 16 16 32 0.141569 0.428551
8192 8192 16 8 64 0.132261 0.421452
8192 8192 16 4 128 0.131473 0.419532
8192 8192 16 2 256 0.132790 0.415548
8192 8192 16 1 512 0.133993 0.428663
8192 8192 16 4 128 0.134922 0.428366
8192 8192 16 128 2 0.194976 0.419350
8192 8192 16 128 4 0.176749 0.428792
8192 8192 16 64 8 0.157586 0.428533
8192 8192 16 32 16 0.143178 0.415576
8192 8192 16 16 32 0.139215 0.417768
8192 8192 16 8 64 0.133301 0.429113
8192 8192 16 4 128 0.131364 0.415271
8192 8192 16 2 256 0.135383 0.416188
8192 8192 16 1 512 0.133990 0.415279
8192 8192 16 4 128 0.133103 0.415937
8192 8192 16 128 2 0.198464 0.428706
8192 8192 16 128 4 0.177663 0.417756
8192 8192 16 64 8 0.156133 0.415389
8192 8192 16 32 16 0.147660 0.428932
8192 8192 16 16 32 0.140447 0.415655
8192 8192 16 8 64 0.130297 0.416128
8192 8192 16 4 128 0.131387 0.415978
8192 8192 16 2 256 0.135293 0.416450
8192 8192 16 1 512 0.136036 0.417440
8192 8192 16 4 128 0.133473 0.415684
8192 8192 16 128 2 0.197301 0.417634
8192 8192 16 128 4 0.176583 0.415824
8192 8192 16 64 8 0.159475 0.428726
8192 8192 16 32 16 0.146229 0.418456
8192 8192 16 16 32 0.140637 0.415595
8192 8192 16 8 64 0.132006 0.421364
8192 8192 16 4 128 0.132131 0.415875
8192 8192 16 2 256 0.134387 0.417386
8192 8192 16 1 512 0.135269 0.416816
8192 8192 16 4 128 0.133509 0.416295
8192 8192 16 128 2 0.194910 0.415548
8192 8192 16 128 4 0.177191 0.415657
8192 8192 16 64 8 0.154813 0.417922
8192 8192 16 32 16 0.146685 0.428809
8192 8192 16 16 32 0.139495 0.417150
8192 8192 16 8 64 0.133218 0.414357
8192 8192 16 4 128 0.131500 0.415984
8192 8192 16 2 256 0.133497 0.417946
8192 8192 16 1 512 0.139551 0.415979
8192 8192 16 4 128 0.133389 0.415709
8192 8192 16 128 2 0.197068 0.415321
8192 8192 16 128 4 0.175109 0.416922
8192 8192 16 64 8 0.156439 0.415781
8192 8192 16 32 16 0.145409 0.429138
8192 8192 16 16 32 0.138082 0.416241
8192 8192 16 8 64 0.130155 0.415810
8192 8192 16 4 128 0.133354 0.416174
8192 8192 16 2 256 0.136667 0.417683
8192 8192 16 1 512 0.131428 0.416251
8192 8192 16 4 128 0.134048 0.415733
8192 8192 16 128 2 0.195722 0.416623
8192 8192 16 128 4 0.180962 0.428805
