w h p k r par_time seq_time
512 512 4 4 32 0.015333 0.013549
4096 4096 4 8 64 0.418688 0.866531
8192 8192 4 8 64 1.661911 3.480812
2048 2048 2 256 8 0.233326 0.213846
2048 2048 4 8 4 0.276519 0.215844
2048 2048 4 32 16 0.109443 0.215937
2048 2048 4 64 4 0.127458 0.213887
2048 2048 2 4 4 0.829244 0.215640
2048 2048 4 4 16 0.188978 0.213794
8192 8192 4 64 32 1.462332 3.454130
2048 2048 4 256 2 0.184470 0.213840
1024 1024 8 16 128 0.259927 0.103857
2048 2048 2 8 32 0.201512 0.215918
1024 1024 2 16 4 0.086634 0.053546
4096 4096 8 32 16 4.819821 1.739480
1024 1024 4 128 32 0.061571 0.053531
2048 2048 4 16 128 0.215789 0.213889
512 512 2 2 128 0.017460 0.013462
2048 2048 4 32 128 0.235743 0.215993
512 512 8 4 16 0.679952 0.023353
8192 8192 2 128 256 3.702055 3.485063
4096 4096 8 2 16 22.119962 1.739693
8192 8192 2 16 2 8.981312 3.455069
512 512 2 128 8 0.017860 0.013396
2048 2048 4 8 2 0.449936 0.215918
1024 1024 4 2 8 0.115711 0.053470
1024 1024 4 32 32 0.057108 0.053550
4096 4096 8 256 64 3.009956 1.734088
2048 2048 2 8 256 0.228375 0.213850
1024 1024 4 16 8 0.041045 0.053985
1024 1024 4 128 4 0.062676 0.053985
8192 8192 4 4 256 1.731078 3.480799
512 512 8 32 32 0.259853 0.023358
1024 1024 4 64 32 0.062935 0.054029
1024 1024 4 256 256 0.060726 0.053548
2048 2048 8 32 4 3.059949 0.435636
1024 1024 4 16 2 0.070805 0.053991
8192 8192 8 16 32 11.010136 6.982953
8192 8192 8 256 4 22.999968 6.903936
8192 8192 4 64 8 1.664766 3.453057
4096 4096 2 2 16 2.151138 0.864008
2048 2048 8 4 64 1.219897 0.435594
512 512 4 4 32 0.014573 0.013482
2048 2048 2 128 2 0.263486 0.215680
4096 4096 4 8 8 0.723430 0.866693
4096 4096 8 16 128 3.699950 1.734258
4096 4096 4 128 16 0.635654 0.864073
2048 2048 4 4 64 0.123316 0.213961
512 512 4 256 16 0.017571 0.013567
8192 8192 2 32 64 2.476110 3.453825
8192 8192 8 64 256 12.339972 6.904126
4096 4096 4 2 4 3.555029 0.863688
4096 4096 2 256 32 0.904719 0.863867
512 512 2 32 32 0.016793 0.013463
8192 8192 8 128 16 9.560024 6.972170
