w h p k r par_time seq_time
2048 2048 4 4 8 0.278801 0.216071
8192 8192 4 32 128 2.480030 3.512004
8192 8192 4 128 64 3.159580 3.503622
4096 4096 8 4 8 19.270015 1.736439
4096 4096 8 256 8 5.570030 1.740138
1024 1024 4 128 128 0.066350 0.054059
4096 4096 2 8 4 2.180294 0.874936
1024 1024 4 2 128 0.042508 0.053468
8192 8192 4 128 2 2.346636 3.468346
2048 2048 4 2 2 1.572169 0.214789
512 512 4 16 8 0.012640 0.013722
1024 1024 2 32 128 0.066142 0.053532
2048 2048 4 256 32 0.240986 0.215969
1024 1024 8 128 16 0.499896 0.103712
8192 8192 4 16 2 4.765759 3.567536
2048 2048 8 16 64 1.039900 0.434496
2048 2048 2 128 128 0.247066 0.216100
512 512 2 16 4 0.023489 0.013436
4096 4096 2 64 8 0.738878 0.865489
8192 8192 4 8 4 4.704023 3.476777
4096 4096 4 32 8 0.490338 0.876353
512 512 8 8 2 1.479921 0.023419
8192 8192 2 16 8 4.030226 3.495642
512 512 4 4 32 0.015070 0.013366
4096 4096 4 8 64 0.435176 0.874413
8192 8192 4 8 64 1.721004 3.462007
2048 2048 2 256 8 0.236776 0.216949
2048 2048 4 8 4 0.282110 0.216111
2048 2048 4 32 16 0.113971 0.217004
2048 2048 4 64 4 0.131030 0.216066
2048 2048 2 4 4 0.828111 0.213933
2048 2048 4 4 16 0.194791 0.217031
8192 8192 4 64 32 1.519627 3.508366
2048 2048 4 256 2 0.188987 0.216336
1024 1024 8 16 128 0.279832 0.104032
2048 2048 2 8 32 0.206383 0.214019
1024 1024 2 16 4 0.087559 0.054084
4096 4096 8 32 16 5.059963 1.739370
1024 1024 4 128 32 0.062806 0.053612
2048 2048 4 16 128 0.222041 0.216008
512 512 2 2 128 0.018279 0.013417
2048 2048 4 32 128 0.242150 0.213812
512 512 8 4 16 0.579937 0.023428
8192 8192 2 128 256 3.743461 3.461301
4096 4096 8 2 16 20.040044 1.739494
8192 8192 2 16 2 8.823883 3.461600
512 512 2 128 8 0.018235 0.013417
2048 2048 4 8 2 0.456780 0.213794
1024 1024 4 2 8 0.120554 0.053529
1024 1024 4 32 32 0.059022 0.053602
4096 4096 8 256 64 3.719840 1.736032
2048 2048 2 8 256 0.238414 0.217173
1024 1024 4 16 8 0.042599 0.054249
1024 1024 4 128 4 0.062618 0.053500
8192 8192 4 4 256 1.820342 3.461351
512 512 8 32 32 0.259943 0.023633
1024 1024 4 64 32 0.062975 0.054161
1024 1024 4 256 256 0.061886 0.054027
2048 2048 8 32 4 3.079901 0.437067
1024 1024 4 16 2 0.075069 0.053484
8192 8192 8 16 32 12.260010 7.016433
8192 8192 8 256 4 16.609877 6.936347
8192 8192 4 64 8 1.762180 3.537065
4096 4096 2 2 16 2.167804 0.865788
2048 2048 8 4 64 1.539950 0.423887
512 512 4 4 32 0.016162 0.013363
2048 2048 2 128 2 0.263963 0.217001
4096 4096 4 8 8 0.761996 0.869272
4096 4096 8 16 128 3.539955 1.754273
4096 4096 4 128 16 0.644333 0.868974
2048 2048 4 4 64 0.128687 0.216358
512 512 4 256 16 0.018466 0.013477
8192 8192 2 32 64 2.579201 3.463273
8192 8192 8 64 256 12.790016 6.933118
4096 4096 4 2 4 3.223783 0.881444
4096 4096 2 256 32 0.925404 0.869659
512 512 2 32 32 0.017115 0.013358
8192 8192 8 128 16 11.720006 6.933366
2048 2048 8 128 256 0.999951 0.437045
2048 2048 2 32 256 0.257583 0.213809
1024 1024 4 8 256 0.067485 0.053625
512 512 8 64 4 0.499848 0.023510
1024 1024 2 4 4 0.209178 0.053534
2048 2048 4 16 32 0.113925 0.216003
4096 4096 4 64 4 0.513157 0.869200
2048 2048 2 32 16 0.183495 0.214081
1024 1024 2 256 64 0.062856 0.053477
4096 4096 2 2 128 0.927065 0.869378
8192 8192 8 2 64 26.009973 7.000225
512 512 4 128 128 0.016417 0.013654
2048 2048 8 256 8 1.879951 0.423931
4096 4096 2 256 2 0.952824 0.869465
1024 1024 2 2 64 0.067672 0.054004
8192 8192 8 16 4 48.349867 6.926879
8192 8192 2 4 2 26.183964 3.495661
512 512 4 64 4 0.020085 0.013356
1024 1024 8 2 2 10.400014 0.103620
4096 4096 4 64 128 0.929145 0.865447
1024 1024 4 64 128 0.065082 0.054079
4096 4096 8 64 64 3.739906 1.736372
4096 4096 8 8 32 4.279972 1.754249
2048 2048 8 8 8 3.079854 0.434289
2048 2048 4 16 16 0.121329 0.214199
4096 4096 4 32 16 0.428878 0.866137
1024 1024 8 128 16 0.499870 0.103557
4096 4096 2 32 128 0.863275 0.874338
1024 1024 4 128 32 0.064085 0.053490
1024 1024 8 4 8 1.479883 0.103447
1024 1024 4 16 8 0.042247 0.054025
4096 4096 4 64 32 0.633362 0.874149
8192 8192 4 32 16 1.700222 3.460195
4096 4096 4 64 16 0.409748 0.865936
1024 1024 4 8 8 0.051637 0.054103
1024 1024 8 32 16 0.679933 0.103438
4096 4096 8 8 16 7.279960 1.739753
2048 2048 4 32 8 0.126342 0.213798
4096 4096 2 4 8 2.110826 0.866578
512 512 4 16 4 0.015242 0.013576
4096 4096 4 32 4 0.602964 0.874623
1024 1024 4 128 128 0.062755 0.054261
1024 1024 4 8 32 0.037104 0.054183
4096 4096 4 4 64 0.498610 0.869401
4096 4096 2 64 128 0.946002 0.865448
1024 1024 2 8 8 0.086416 0.053523
2048 2048 4 128 4 0.138196 0.216138
1024 1024 8 4 128 0.479810 0.103496
2048 2048 4 8 16 0.144490 0.214003
2048 2048 2 8 128 0.181820 0.215991
1024 1024 4 8 32 0.037581 0.053496
2048 2048 2 128 4 0.200765 0.213834
4096 4096 8 32 4 7.920053 1.735641
512 512 8 8 32 0.219923 0.023355
2048 2048 2 32 64 0.220170 0.214144
4096 4096 4 16 64 0.410984 0.869622
512 512 4 32 64 0.017554 0.013440
4096 4096 4 16 8 0.569718 0.865299
2048 2048 2 128 64 0.241569 0.216011
512 512 4 4 2 0.054044 0.013591
4096 4096 2 4 64 0.864204 0.865554
2048 2048 4 64 64 0.237131 0.214352
1024 1024 4 128 64 0.064068 0.053664
1024 1024 2 8 64 0.050272 0.054002
1024 1024 4 4 64 0.038559 0.054118
1024 1024 2 64 64 0.064734 0.054189
4096 4096 4 128 8 0.434441 0.865427
8192 8192 4 4 4 8.451254 3.468932
4096 4096 4 4 32 0.606158 0.875037
2048 2048 4 8 128 0.176742 0.214065
4096 4096 2 8 32 0.818249 0.865340
4096 4096 4 64 16 0.409756 0.874464
1024 1024 4 128 4 0.063951 0.054229
2048 2048 4 16 32 0.112985 0.216947
2048 2048 4 64 16 0.176699 0.217039
4096 4096 8 128 128 3.599999 1.739405
1024 1024 4 64 16 0.060371 0.053493
2048 2048 8 4 4 10.679932 0.436056
2048 2048 4 64 32 0.219103 0.214218
4096 4096 2 32 4 1.093654 0.869054
8192 8192 2 8 128 2.771726 3.508626
2048 2048 2 2 128 0.232399 0.214036
1024 1024 4 128 2 0.053257 0.054036
2048 2048 4 16 8 0.145766 0.213900
4096 4096 8 16 16 4.700005 1.725198
1024 1024 4 4 16 0.051517 0.053560
1024 1024 4 32 128 0.065618 0.053714
1024 1024 2 64 8 0.052844 0.054199
2048 2048 4 32 64 0.216716 0.214215
4096 4096 4 8 32 0.472422 0.865569
512 512 8 4 32 0.399902 0.023492
512 512 4 4 128 0.019309 0.013365
1024 1024 4 8 8 0.050217 0.053712
4096 4096 8 64 64 3.919987 1.739910
4096 4096 2 256 8 0.715146 0.865286
2048 2048 4 4 32 0.149927 0.216995
8192 8192 8 64 4 21.520060 6.933388
1024 1024 8 2 16 1.479938 0.103992
4096 4096 4 256 32 0.919589 0.865517
2048 2048 2 128 32 0.233667 0.213891
4096 4096 8 2 256 3.379815 1.736233
2048 2048 8 64 4 3.079912 0.423923
2048 2048 8 64 16 0.819866 0.436111
1024 1024 4 8 4 0.069983 0.053769
4096 4096 4 16 128 0.644558 0.870331
4096 4096 8 32 64 4.219960 1.755338
4096 4096 4 4 4 1.920144 0.866114
4096 4096 2 16 256 0.890910 0.865616
512 512 4 64 16 0.018248 0.013589
1024 1024 2 16 32 0.049530 0.054006
1024 1024 8 64 64 0.319940 0.103442
1024 1024 2 4 16 0.087996 0.054044
1024 1024 8 16 16 0.499904 0.103993
2048 2048 8 32 256 0.979938 0.436103
1024 1024 4 16 64 0.059281 0.054271
2048 2048 4 128 128 0.241510 0.217228
1024 1024 4 32 8 0.037557 0.054063
8192 8192 4 128 128 3.504808 3.462200
512 512 2 8 256 0.017989 0.013594
2048 2048 4 4 8 0.278188 0.214148
8192 8192 4 32 128 2.504569 3.497607
8192 8192 4 128 64 3.161541 3.486711
4096 4096 8 4 8 21.359990 1.740742
4096 4096 8 256 8 5.740002 1.758061
1024 1024 4 128 128 0.062809 0.054364
4096 4096 2 8 4 2.074130 0.869609
1024 1024 4 2 128 0.043164 0.053584
8192 8192 4 128 2 2.292935 3.463401
2048 2048 4 2 2 1.578129 0.227282
512 512 4 16 8 0.012518 0.013589
1024 1024 2 32 128 0.065822 0.054472
2048 2048 4 256 32 0.240915 0.214158
1024 1024 8 128 16 0.499968 0.104184
8192 8192 4 16 2 4.889212 3.537220
2048 2048 8 16 64 1.279935 0.436861
2048 2048 2 128 128 0.245053 0.213923
512 512 2 16 4 0.023279 0.013577
4096 4096 2 64 8 0.750161 0.865584
8192 8192 4 8 4 4.741183 3.496417
4096 4096 4 32 8 0.492315 0.870797
512 512 8 8 2 1.459846 0.023354
8192 8192 2 16 8 4.028489 3.461700
512 512 4 4 32 0.016171 0.013420
4096 4096 4 8 64 0.435441 0.869087
8192 8192 4 8 64 1.712257 3.461279
2048 2048 2 256 8 0.237636 0.217562
2048 2048 4 8 4 0.277457 0.214044
2048 2048 4 32 16 0.113473 0.213956
2048 2048 4 64 4 0.131777 0.213938
2048 2048 2 4 4 0.867145 0.214060
2048 2048 4 4 16 0.193505 0.217085
8192 8192 4 64 32 1.506917 3.510629
2048 2048 4 256 2 0.189427 0.213795
1024 1024 8 16 128 0.219895 0.104002
2048 2048 2 8 32 0.205405 0.216031
1024 1024 2 16 4 0.090040 0.053476
4096 4096 8 32 16 4.370062 1.744136
1024 1024 4 128 32 0.063872 0.053585
2048 2048 4 16 128 0.222427 0.217029
512 512 2 2 128 0.018116 0.013378
2048 2048 4 32 128 0.242719 0.216012
512 512 8 4 16 0.599942 0.023582
8192 8192 2 128 256 3.746897 3.462246
4096 4096 8 2 16 22.189988 1.735468
8192 8192 2 16 2 8.644515 3.462717
512 512 2 128 8 0.018115 0.013588
2048 2048 4 8 2 0.457965 0.214058
1024 1024 4 2 8 0.114259 0.053488
1024 1024 4 32 32 0.058894 0.053532
4096 4096 8 256 64 3.720032 1.739291
2048 2048 2 8 256 0.236984 0.214197
1024 1024 4 16 8 0.042388 0.054222
1024 1024 4 128 4 0.063565 0.053527
8192 8192 4 4 256 1.826162 3.462903
512 512 8 32 32 0.259848 0.023516
1024 1024 4 64 32 0.062636 0.053483
1024 1024 4 256 256 0.061696 0.053598
2048 2048 8 32 4 3.819807 0.423998
1024 1024 4 16 2 0.074911 0.054188
8192 8192 8 16 32 11.340188 6.995456
8192 8192 8 256 4 21.379984 7.035396
8192 8192 4 64 8 1.731450 3.486694
4096 4096 2 2 16 2.173290 0.866049
2048 2048 8 4 64 1.279868 0.424077
512 512 4 4 32 0.016217 0.013412
2048 2048 2 128 2 0.263566 0.214052
4096 4096 4 8 8 0.761649 0.865585
4096 4096 8 16 128 3.400036 1.725751
4096 4096 4 128 16 0.646425 0.875609
2048 2048 4 4 64 0.129249 0.214508
512 512 4 256 16 0.018342 0.013426
8192 8192 2 32 64 2.553176 3.494634
8192 8192 8 64 256 13.269943 6.933746
4096 4096 4 2 4 3.715308 0.872482
4096 4096 2 256 32 0.915037 0.865577
512 512 2 32 32 0.017260 0.013409
8192 8192 8 128 16 11.210139 6.943444
2048 2048 8 128 256 0.869961 0.437707
2048 2048 2 32 256 0.257680 0.213866
1024 1024 4 8 256 0.067488 0.053608
512 512 8 64 4 1.459901 0.023507
1024 1024 2 4 4 0.210819 0.054215
2048 2048 4 16 32 0.113892 0.217094
4096 4096 4 64 4 0.509793 0.866215
2048 2048 2 32 16 0.181932 0.213928
1024 1024 2 256 64 0.063410 0.054019
4096 4096 2 2 128 0.916554 0.874126
8192 8192 8 2 64 27.500022 6.940643
512 512 4 128 128 0.016429 0.013561
2048 2048 8 256 8 2.459956 0.437444
4096 4096 2 256 2 0.964373 0.865523
1024 1024 2 2 64 0.068841 0.053671
8192 8192 8 16 4 45.849869 7.046207
8192 8192 2 4 2 25.454421 3.509226
512 512 4 64 4 0.020306 0.013482
1024 1024 8 2 2 9.459917 0.103593
4096 4096 4 64 128 0.928363 0.868898
1024 1024 4 64 128 0.065006 0.054192
4096 4096 8 64 64 3.979913 1.754519
4096 4096 8 8 32 4.819941 1.725645
2048 2048 8 8 8 3.039881 0.434253
2048 2048 4 16 16 0.120859 0.213977
4096 4096 4 32 16 0.428705 0.870059
1024 1024 8 128 16 0.499963 0.103449
4096 4096 2 32 128 0.862869 0.866020
1024 1024 4 128 32 0.064230 0.054093
1024 1024 8 4 8 1.489829 0.103432
1024 1024 4 16 8 0.041824 0.054184
4096 4096 4 64 32 0.632310 0.874308
8192 8192 4 32 16 1.714219 3.493760
4096 4096 4 64 16 0.409277 0.874424
1024 1024 4 8 8 0.050600 0.054161
1024 1024 8 32 16 0.659859 0.103439
4096 4096 8 8 16 7.100025 1.735630
2048 2048 4 32 8 0.125266 0.216281
4096 4096 2 4 8 2.089843 0.865468
512 512 4 16 4 0.015501 0.013493
4096 4096 4 32 4 0.608565 0.874548
1024 1024 4 128 128 0.062802 0.054204
1024 1024 4 8 32 0.037422 0.054223
4096 4096 4 4 64 0.509551 0.874331
4096 4096 2 64 128 0.944797 0.865897
1024 1024 2 8 8 0.086510 0.053515
2048 2048 4 128 4 0.138639 0.215968
1024 1024 8 4 128 0.439943 0.103447
2048 2048 4 8 16 0.145000 0.217028
2048 2048 2 8 128 0.182697 0.217152
1024 1024 4 8 32 0.037279 0.054194
2048 2048 2 128 4 0.203304 0.214019
4096 4096 8 32 4 8.899874 1.739541
512 512 8 8 32 0.299930 0.023466
2048 2048 2 32 64 0.219091 0.213874
4096 4096 4 16 64 0.411232 0.869199
512 512 4 32 64 0.017572 0.013592
4096 4096 4 16 8 0.572931 0.865582
2048 2048 2 128 64 0.243938 0.216038
512 512 4 4 2 0.051886 0.013359
4096 4096 2 4 64 0.870021 0.874462
2048 2048 4 64 64 0.240588 0.215939
1024 1024 4 128 64 0.062690 0.053547
1024 1024 2 8 64 0.050346 0.054191
1024 1024 4 4 64 0.039508 0.054027
1024 1024 2 64 64 0.065140 0.054046
4096 4096 4 128 8 0.432770 0.865451
8192 8192 4 4 4 8.462827 3.505073
4096 4096 4 4 32 0.592634 0.867367
2048 2048 4 8 128 0.177050 0.217774
4096 4096 2 8 32 0.825754 0.866110
4096 4096 4 64 16 0.407773 0.869233
1024 1024 4 128 4 0.063646 0.054301
2048 2048 4 16 32 0.113759 0.217059
2048 2048 4 64 16 0.176726 0.213982
4096 4096 8 128 128 3.659980 1.735776
1024 1024 4 64 16 0.060611 0.054303
2048 2048 8 4 4 10.659951 0.424005
2048 2048 4 64 32 0.216257 0.214090
4096 4096 2 32 4 1.069956 0.868980
8192 8192 2 8 128 2.752493 3.494480
2048 2048 2 2 128 0.230549 0.216114
1024 1024 4 128 2 0.054256 0.053684
2048 2048 4 16 8 0.146312 0.213826
4096 4096 8 16 16 4.980087 1.739047
1024 1024 4 4 16 0.052302 0.054036
1024 1024 4 32 128 0.065568 0.053682
1024 1024 2 64 8 0.052388 0.054047
2048 2048 4 32 64 0.217021 0.213920
4096 4096 4 8 32 0.479656 0.865836
512 512 8 4 32 0.279843 0.023515
512 512 4 4 128 0.017904 0.013364
1024 1024 4 8 8 0.051359 0.053781
4096 4096 8 64 64 4.060021 1.740542
4096 4096 2 256 8 0.719299 0.874329
2048 2048 4 4 32 0.150203 0.217065
8192 8192 8 64 4 23.170084 7.028423
1024 1024 8 2 16 1.479934 0.104280
4096 4096 4 256 32 0.919052 0.875429
2048 2048 2 128 32 0.234045 0.216958
4096 4096 8 2 256 3.800024 1.735846
2048 2048 8 64 4 4.089947 0.423948
2048 2048 8 64 16 1.159932 0.437363
1024 1024 4 8 4 0.073540 0.054355
4096 4096 4 16 128 0.645238 0.874373
4096 4096 8 32 64 3.639879 1.738972
4096 4096 4 4 4 1.929455 0.872073
4096 4096 2 16 256 0.886888 0.869253
512 512 4 64 16 0.017691 0.013371
1024 1024 2 16 32 0.049045 0.053476
1024 1024 8 64 64 0.379938 0.103575
1024 1024 2 4 16 0.087335 0.054018
1024 1024 8 16 16 0.659874 0.104062
2048 2048 8 32 256 1.079949 0.424167
1024 1024 4 16 64 0.059205 0.053555
2048 2048 4 128 128 0.241620 0.214084
1024 1024 4 32 8 0.036464 0.054077
8192 8192 4 128 128 3.506805 3.471555
512 512 2 8 256 0.018038 0.013544
2048 2048 4 4 8 0.289470 0.216504
8192 8192 4 32 128 2.486429 3.482169
8192 8192 4 128 64 3.161453 3.523773
4096 4096 8 4 8 21.590049 1.745030
4096 4096 8 256 8 5.899909 1.737938
1024 1024 4 128 128 0.063977 0.053621
4096 4096 2 8 4 2.092367 0.874495
1024 1024 4 2 128 0.042828 0.053562
8192 8192 4 128 2 2.291544 3.468407
2048 2048 4 2 2 1.590081 0.218960
512 512 4 16 8 0.012507 0.013583
1024 1024 2 32 128 0.065596 0.053681
2048 2048 4 256 32 0.244103 0.213820
1024 1024 8 128 16 0.499990 0.103997
8192 8192 4 16 2 4.891068 3.549421
2048 2048 8 16 64 1.119844 0.437760
2048 2048 2 128 128 0.250350 0.217366
512 512 2 16 4 0.023426 0.013411
4096 4096 2 64 8 0.739301 0.869106
8192 8192 4 8 4 4.584545 3.526824
4096 4096 4 32 8 0.489233 0.868139
512 512 8 8 2 1.539925 0.023359
8192 8192 2 16 8 4.090052 3.494251
512 512 4 4 32 0.015101 0.013447
4096 4096 4 8 64 0.433338 0.865051
8192 8192 4 8 64 1.728705 3.494175
2048 2048 2 256 8 0.236488 0.213880
2048 2048 4 8 4 0.281973 0.216019
2048 2048 4 32 16 0.114246 0.213952
2048 2048 4 64 4 0.131486 0.213832
2048 2048 2 4 4 0.869474 0.217969
2048 2048 4 4 16 0.190249 0.213918
8192 8192 4 64 32 1.516794 3.461763
2048 2048 4 256 2 0.189306 0.217123
1024 1024 8 16 128 0.379941 0.103973
2048 2048 2 8 32 0.205730 0.216051
1024 1024 2 16 4 0.087264 0.053581
4096 4096 8 32 16 4.459995 1.740122
1024 1024 4 128 32 0.062787 0.054318
2048 2048 4 16 128 0.221945 0.216952
512 512 2 2 128 0.018072 0.013383
2048 2048 4 32 128 0.242559 0.217036
512 512 8 4 16 0.399860 0.023527
8192 8192 2 128 256 3.745255 3.495564
4096 4096 8 2 16 23.009874 1.744024
8192 8192 2 16 2 8.725702 3.495086
512 512 2 128 8 0.018139 0.013603
2048 2048 4 8 2 0.471059 0.216047
1024 1024 4 2 8 0.118373 0.054084
1024 1024 4 32 32 0.059032 0.054306
4096 4096 8 256 64 3.869857 1.743959
2048 2048 2 8 256 0.238155 0.216980
1024 1024 4 16 8 0.042472 0.054043
1024 1024 4 128 4 0.063597 0.053722
8192 8192 4 4 256 1.801968 3.508809
512 512 8 32 32 0.379923 0.023353
1024 1024 4 64 32 0.062800 0.054206
1024 1024 4 256 256 0.061831 0.053669
2048 2048 8 32 4 3.149958 0.424000
1024 1024 4 16 2 0.074522 0.054340
8192 8192 8 16 32 12.700103 6.927692
8192 8192 8 256 4 15.609916 6.936217
8192 8192 4 64 8 1.739028 3.477406
4096 4096 2 2 16 2.164264 0.865659
2048 2048 8 4 64 1.369963 0.423832
512 512 4 4 32 0.015136 0.013429
2048 2048 2 128 2 0.260092 0.216213
4096 4096 4 8 8 0.760125 0.865484
4096 4096 8 16 128 3.799851 1.739103
4096 4096 4 128 16 0.644078 0.868834
2048 2048 4 4 64 0.128270 0.215995
512 512 4 256 16 0.018402 0.013444
8192 8192 2 32 64 2.574415 3.508479
8192 8192 8 64 256 14.670027 6.943235
4096 4096 4 2 4 3.710814 0.876064
4096 4096 2 256 32 0.921627 0.865368
512 512 2 32 32 0.017428 0.013445
8192 8192 8 128 16 10.510085 7.018093
2048 2048 8 128 256 0.879951 0.424031
2048 2048 2 32 256 0.258418 0.214269
1024 1024 4 8 256 0.068644 0.054076
512 512 8 64 4 0.879925 0.023354
1024 1024 2 4 4 0.209132 0.053461
2048 2048 4 16 32 0.113259 0.213822
4096 4096 4 64 4 0.510582 0.866104
2048 2048 2 32 16 0.182861 0.213955
1024 1024 2 256 64 0.063395 0.054245
4096 4096 2 2 128 0.924819 0.865375
8192 8192 8 2 64 28.660057 6.941179
512 512 4 128 128 0.016378 0.013508
2048 2048 8 256 8 1.849785 0.424632
4096 4096 2 256 2 0.948001 0.865956
1024 1024 2 2 64 0.068987 0.053537
8192 8192 8 16 4 47.150062 6.972246
8192 8192 2 4 2 27.179549 3.508650
512 512 4 64 4 0.019406 0.013552
1024 1024 8 2 2 10.299877 0.104217
4096 4096 4 64 128 0.945045 0.865743
1024 1024 4 64 128 0.066290 0.054021
4096 4096 8 64 64 4.199843 1.735560
4096 4096 8 8 32 5.059921 1.739561
2048 2048 8 8 8 3.199903 0.436080
2048 2048 4 16 16 0.123373 0.216145
4096 4096 4 32 16 0.431320 0.865670
1024 1024 8 128 16 0.499856 0.104195
4096 4096 2 32 128 0.863409 0.869146
1024 1024 4 128 32 0.062931 0.054390
1024 1024 8 4 8 1.559957 0.103971
1024 1024 4 16 8 0.041956 0.054269
4096 4096 4 64 32 0.637577 0.875403
8192 8192 4 32 16 1.707612 3.509584
4096 4096 4 64 16 0.408753 0.865771
1024 1024 4 8 8 0.050685 0.053462
1024 1024 8 32 16 0.739942 0.103579
4096 4096 8 8 16 7.479915 1.736227
2048 2048 4 32 8 0.125555 0.217040
4096 4096 2 4 8 2.114429 0.865897
512 512 4 16 4 0.015517 0.013370
4096 4096 4 32 4 0.613955 0.869208
1024 1024 4 128 128 0.064200 0.054165
1024 1024 4 8 32 0.036963 0.053538
4096 4096 4 4 64 0.502575 0.865530
4096 4096 2 64 128 0.948788 0.875000
1024 1024 2 8 8 0.087400 0.054077
2048 2048 4 128 4 0.139186 0.213920
1024 1024 8 4 128 0.439948 0.104107
2048 2048 4 8 16 0.144685 0.214007
2048 2048 2 8 128 0.181283 0.213784
1024 1024 4 8 32 0.037601 0.054172
2048 2048 2 128 4 0.203701 0.217482
4096 4096 8 32 4 10.409769 1.735952
512 512 8 8 32 0.219880 0.023539
2048 2048 2 32 64 0.220260 0.214202
4096 4096 4 16 64 0.412120 0.865689
512 512 4 32 64 0.017620 0.013436
4096 4096 4 16 8 0.569640 0.869316
2048 2048 2 128 64 0.242362 0.217077
512 512 4 4 2 0.051792 0.013369
4096 4096 2 4 64 0.863080 0.865932
2048 2048 4 64 64 0.237267 0.216133
1024 1024 4 128 64 0.062788 0.054094
1024 1024 2 8 64 0.050840 0.054642
1024 1024 4 4 64 0.039344 0.054046
1024 1024 2 64 64 0.064710 0.053482
4096 4096 4 128 8 0.433132 0.869319
8192 8192 4 4 4 8.461941 3.464194
4096 4096 4 4 32 0.588698 0.865094
2048 2048 4 8 128 0.176532 0.214033
4096 4096 2 8 32 0.831709 0.865773
4096 4096 4 64 16 0.408059 0.865523
1024 1024 4 128 4 0.063655 0.054228
2048 2048 4 16 32 0.114069 0.217156
2048 2048 4 64 16 0.175909 0.217050
4096 4096 8 128 128 3.659883 1.736440
1024 1024 4 64 16 0.060529 0.054321
2048 2048 8 4 4 10.559881 0.424334
2048 2048 4 64 32 0.216450 0.215984
4096 4096 2 32 4 1.077242 0.874575
8192 8192 2 8 128 2.760400 3.461669
2048 2048 2 2 128 0.233982 0.214041
1024 1024 4 128 2 0.054066 0.053653
2048 2048 4 16 8 0.145058 0.213784
4096 4096 8 16 16 4.389970 1.725903
1024 1024 4 4 16 0.051187 0.053522
1024 1024 4 32 128 0.065775 0.054246
1024 1024 2 64 8 0.052332 0.054048
2048 2048 4 32 64 0.217870 0.214010
4096 4096 4 8 32 0.478168 0.865974
512 512 8 4 32 0.379918 0.023535
512 512 4 4 128 0.019067 0.013373
1024 1024 4 8 8 0.051060 0.053622
4096 4096 8 64 64 3.839995 1.744287
4096 4096 2 256 8 0.718087 0.865573
2048 2048 4 4 32 0.151201 0.216028
8192 8192 8 64 4 23.119957 6.943448
1024 1024 8 2 16 1.519936 0.104289
4096 4096 4 256 32 0.919941 0.869297
2048 2048 2 128 32 0.233565 0.213974
4096 4096 8 2 256 3.420032 1.739567
2048 2048 8 64 4 3.139769 0.424176
2048 2048 8 64 16 1.540012 0.423985
1024 1024 4 8 4 0.072385 0.053547
4096 4096 4 16 128 0.658470 0.865652
4096 4096 8 32 64 3.920001 1.727206
4096 4096 4 4 4 1.909707 0.871254
4096 4096 2 16 256 0.886677 0.869283
512 512 4 64 16 0.017883 0.013463
1024 1024 2 16 32 0.048890 0.053463
1024 1024 8 64 64 0.299890 0.103481
1024 1024 2 4 16 0.088006 0.054143
1024 1024 8 16 16 0.339884 0.103981
2048 2048 8 32 256 1.039939 0.436950
1024 1024 4 16 64 0.059518 0.054048
2048 2048 4 128 128 0.247845 0.213937
1024 1024 4 32 8 0.037699 0.054080
8192 8192 4 128 128 3.504303 3.470733
512 512 2 8 256 0.017917 0.013477
2048 2048 4 4 8 0.277368 0.214164
8192 8192 4 32 128 2.497320 3.522754
8192 8192 4 128 64 3.162782 3.494857
4096 4096 8 4 8 21.819910 1.741316
4096 4096 8 256 8 6.159968 1.741163
1024 1024 4 128 128 0.062951 0.053631
4096 4096 2 8 4 2.014882 0.874434
1024 1024 4 2 128 0.042590 0.053520
8192 8192 4 128 2 2.298845 3.500553
2048 2048 4 2 2 1.569109 0.217547
512 512 4 16 8 0.012543 0.013363
1024 1024 2 32 128 0.066011 0.053442
2048 2048 4 256 32 0.244855 0.214037
1024 1024 8 128 16 0.519943 0.103726
8192 8192 4 16 2 4.875895 3.531659
2048 2048 8 16 64 1.259922 0.436432
2048 2048 2 128 128 0.245414 0.216017
512 512 2 16 4 0.023792 0.013561
4096 4096 2 64 8 0.745730 0.874643
8192 8192 4 8 4 4.739668 3.532855
4096 4096 4 32 8 0.499527 0.881425
512 512 8 8 2 2.179927 0.023595
8192 8192 2 16 8 4.125940 3.508557
512 512 4 4 32 0.016249 0.013561
4096 4096 4 8 64 0.434746 0.874795
8192 8192 4 8 64 1.726484 3.460629
2048 2048 2 256 8 0.237926 0.216145
2048 2048 4 8 4 0.280228 0.216054
2048 2048 4 32 16 0.114046 0.217071
2048 2048 4 64 4 0.131471 0.213901
2048 2048 2 4 4 0.824442 0.215967
2048 2048 4 4 16 0.193555 0.214061
8192 8192 4 64 32 1.512226 3.494031
2048 2048 4 256 2 0.188536 0.214480
1024 1024 8 16 128 0.259957 0.103560
2048 2048 2 8 32 0.207511 0.214118
1024 1024 2 16 4 0.088469 0.054013
4096 4096 8 32 16 4.919968 1.735957
1024 1024 4 128 32 0.062851 0.053530
2048 2048 4 16 128 0.223153 0.216405
512 512 2 2 128 0.018453 0.013692
2048 2048 4 32 128 0.242135 0.217097
512 512 8 4 16 0.599871 0.023365
8192 8192 2 128 256 3.727161 3.462170
4096 4096 8 2 16 22.549911 1.735341
8192 8192 2 16 2 8.695243 3.462181
512 512 2 128 8 0.017968 0.013400
2048 2048 4 8 2 0.454627 0.214199
1024 1024 4 2 8 0.118709 0.054200
1024 1024 4 32 32 0.058715 0.054140
4096 4096 8 256 64 4.090016 1.735997
