h w p k r par_time seq_time
8192 32768 16 256 2 0.839610 1.601404
8192 32768 16 256 4 0.720245 1.602929
8192 32768 16 256 8 0.681137 1.604043
8192 32768 16 256 16 0.773362 1.608181
8192 32768 16 256 32 0.977682 1.609347
8192 32768 16 256 64 1.376035 1.602514
8192 32768 16 256 128 1.690985 1.603870
8192 32768 16 256 256 1.881522 1.607443
8192 32768 16 256 512 1.870113 1.601093
8192 32768 16 256 2 0.834952 1.602753
8192 32768 16 256 4 0.709666 1.602699
8192 32768 16 256 8 0.680051 1.602576
8192 32768 16 256 16 0.766162 1.600580
8192 32768 16 256 32 0.959702 1.602750
8192 32768 16 256 64 1.383466 1.603137
8192 32768 16 256 128 1.691491 1.601286
8192 32768 16 256 256 1.883955 1.600386
8192 32768 16 256 512 1.867978 1.600791
8192 32768 16 256 2 0.829786 1.601397
8192 32768 16 256 4 0.714360 1.626011
8192 32768 16 256 8 0.677763 1.602532
8192 32768 16 256 16 0.769042 1.604107
8192 32768 16 256 32 0.964078 1.602425
8192 32768 16 256 64 1.379828 1.625164
8192 32768 16 256 128 1.692126 1.600927
8192 32768 16 256 256 1.878214 1.602104
8192 32768 16 256 512 1.865423 1.601135
8192 32768 16 256 2 0.837768 1.599956
8192 32768 16 256 4 0.713583 1.625179
8192 32768 16 256 8 0.678931 1.602639
8192 32768 16 256 16 0.770760 1.601831
8192 32768 16 256 32 0.965539 1.602471
8192 32768 16 256 64 1.383448 1.625515
8192 32768 16 256 128 1.692956 1.600740
8192 32768 16 256 256 1.877237 1.600858
8192 32768 16 256 512 1.835325 1.602357
8192 32768 16 256 2 0.843655 1.626100
8192 32768 16 256 4 0.716346 1.601450
8192 32768 16 256 8 0.682297 1.625663
8192 32768 16 256 16 0.772166 1.601696
8192 32768 16 256 32 0.963208 1.600657
8192 32768 16 256 64 1.363231 1.601433
8192 32768 16 256 128 1.698074 1.602529
8192 32768 16 256 256 1.879399 1.601471
8192 32768 16 256 512 1.874326 1.601997
8192 32768 16 256 2 0.838703 1.600754
8192 32768 16 256 4 0.709805 1.601388
8192 32768 16 256 8 0.682726 1.625377
8192 32768 16 256 16 0.768983 1.625690
8192 32768 16 256 32 0.953899 1.601392
8192 32768 16 256 64 1.375813 1.601110
8192 32768 16 256 128 1.688390 1.600782
8192 32768 16 256 256 1.879636 1.603314
8192 32768 16 256 512 1.867154 1.602285
8192 32768 16 256 2 0.840493 1.602428
8192 32768 16 256 4 0.718360 1.606949
8192 32768 16 256 8 0.681322 1.626090
8192 32768 16 256 16 0.771856 1.601510
8192 32768 16 256 32 0.963463 1.600419
8192 32768 16 256 64 1.377772 1.602773
8192 32768 16 256 128 1.692737 1.613093
8192 32768 16 256 256 1.880666 1.605948
8192 32768 16 256 512 1.873729 1.602859
8192 32768 16 256 2 0.843315 1.603950
8192 32768 16 256 4 0.719310 1.602371
8192 32768 16 256 8 0.674111 1.594830
8192 32768 16 256 16 0.775881 1.602989
8192 32768 16 256 32 0.968782 1.602736
8192 32768 16 256 64 1.383456 1.604058
8192 32768 16 256 128 1.693522 1.614025
8192 32768 16 256 256 1.880467 1.602809
8192 32768 16 256 512 1.872611 1.602352
8192 32768 16 256 2 0.832360 1.600951
8192 32768 16 256 4 0.717799 1.603597
8192 32768 16 256 8 0.678835 1.603089
8192 32768 16 256 16 0.775792 1.601621
8192 32768 16 256 32 0.967404 1.602490
8192 32768 16 256 64 1.379012 1.625378
8192 32768 16 256 128 1.692228 1.625374
8192 32768 16 256 256 1.874442 1.625020
8192 32768 16 256 512 1.856598 1.602234
8192 32768 16 256 2 0.832388 1.603054
8192 32768 16 256 4 0.716317 1.605895
8192 32768 16 256 8 0.675392 1.625262
8192 32768 16 256 16 0.768899 1.606456
8192 32768 16 256 32 0.972933 1.604368
8192 32768 16 256 64 1.378354 1.604425
8192 32768 16 256 128 1.695112 1.604554
8192 32768 16 256 256 1.875909 1.624907
8192 32768 16 256 512 1.851092 1.603528
8192 32768 16 256 2 0.835659 1.623762
8192 32768 16 256 4 0.718774 1.603157
8192 32768 16 256 8 0.677877 1.602200
8192 32768 16 256 16 0.767629 1.604204
8192 32768 16 256 32 0.965063 1.603387
8192 32768 16 256 64 1.379353 1.601873
8192 32768 16 256 128 1.693257 1.602211
8192 32768 16 256 256 1.878170 1.600831
8192 32768 16 256 512 1.868871 1.606760
8192 32768 16 256 2 0.839541 1.625869
8192 32768 16 256 4 0.709861 1.596704
8192 32768 16 256 8 0.683512 1.623772
8192 32768 16 256 16 0.773884 1.601196
8192 32768 16 256 32 0.968513 1.601359
8192 32768 16 256 64 1.380994 1.601116
8192 32768 16 256 128 1.690646 1.600621
8192 32768 16 256 256 1.865485 1.601115
8192 32768 16 256 512 1.872559 1.624072
8192 32768 16 256 2 0.837360 1.601348
8192 32768 16 256 4 0.710536 1.599192
8192 32768 16 256 8 0.679241 1.601235
8192 32768 16 256 16 0.764419 1.601036
8192 32768 16 256 32 0.968299 1.601226
8192 32768 16 256 64 1.383724 1.601087
8192 32768 16 256 128 1.694708 1.600627
8192 32768 16 256 256 1.882879 1.601352
8192 32768 16 256 512 1.873622 1.623950
8192 32768 16 256 2 0.839726 1.603816
8192 32768 16 256 4 0.723917 1.625936
8192 32768 16 256 8 0.681965 1.607450
8192 32768 16 256 16 0.776422 1.601360
8192 32768 16 256 32 0.971393 1.602354
8192 32768 16 256 64 1.384121 1.601729
8192 32768 16 256 128 1.695274 1.602848
8192 32768 16 256 256 1.867334 1.602129
8192 32768 16 256 512 1.826144 1.601175
8192 32768 16 256 2 0.830667 1.625222
8192 32768 16 256 4 0.720085 1.603001
8192 32768 16 256 8 0.679592 1.609887
8192 32768 16 256 16 0.773372 1.602471
8192 32768 16 256 32 0.971692 1.624998
8192 32768 16 256 64 1.383024 1.603346
8192 32768 16 256 128 1.703836 1.606695
8192 32768 16 256 256 1.879075 1.601540
8192 32768 16 256 512 1.876467 1.600526
8192 32768 16 256 2 0.836659 1.602196
8192 32768 16 256 4 0.717479 1.602407
8192 32768 16 256 8 0.679762 1.602259
8192 32768 16 256 16 0.773620 1.600172
8192 32768 16 256 32 0.975310 1.602721
8192 32768 16 256 64 1.379711 1.603395
8192 32768 16 256 128 1.695234 1.602116
8192 32768 16 256 256 1.875661 1.600660
8192 32768 16 256 512 1.865839 1.600701
8192 32768 16 256 2 0.839882 1.602275
8192 32768 16 256 4 0.711058 1.599857
8192 32768 16 256 8 0.680936 1.602592
8192 32768 16 256 16 0.759995 1.601922
8192 32768 16 256 32 0.969988 1.601812
8192 32768 16 256 64 1.379633 1.603145
8192 32768 16 256 128 1.687405 1.601268
8192 32768 16 256 256 1.885289 1.600349
8192 32768 16 256 512 1.867898 1.600797
8192 32768 16 256 2 0.831142 1.602963
8192 32768 16 256 4 0.716588 1.602369
8192 32768 16 256 8 0.677324 1.602703
8192 32768 16 256 16 0.765292 1.602283
8192 32768 16 256 32 0.968624 1.600653
8192 32768 16 256 64 1.378664 1.602197
8192 32768 16 256 128 1.698139 1.601651
8192 32768 16 256 256 1.873563 1.600876
8192 32768 16 256 512 1.875881 1.601812
8192 32768 16 256 2 0.840419 1.600510
8192 32768 16 256 4 0.710795 1.625278
8192 32768 16 256 8 0.678887 1.600213
8192 32768 16 256 16 0.772128 1.598967
8192 32768 16 256 32 0.973273 1.625164
8192 32768 16 256 64 1.372245 1.603034
8192 32768 16 256 128 1.689902 1.600565
8192 32768 16 256 256 1.878107 1.600520
8192 32768 16 256 512 1.863826 1.600773
8192 32768 16 256 2 0.836569 1.601009
